Aging_across_tissues	Heart	Liver	Cerebellum	OB	NPCs
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.21295031387027	2.251091825	12.7108791371889	5.23214823347689	3.50166731605127	0
HALLMARK_ALLOGRAFT_REJECTION	1.87367050849671	4.34107453	6.68295339151422	8.57318153702125	3.78023598820059	0
HALLMARK_IL6_JAK_STAT3_SIGNALING	3.1961168441462	3.667198746	4.51100528485975	7.15512333965844	2.21158142583847	0
HALLMARK_INFLAMMATORY_RESPONSE	5.39181234963913	2.059094168	6.44413287316652	3.28240158622691	1.60792544109277	0
HALLMARK_KRAS_SIGNALING_UP	4.21471181029935	3.435060963	3.09944713671422	3.20451262003909	2.1416144721149	0
HALLMARK_COMPLEMENT	3.31121979673794	1.964623076	2.5656731497853	3.16038068770815	2.01696675900277	0
HALLMARK_COAGULATION	1.74923100584436	2.376125591	2.35095841721807	2.97587305166436	2.54415441176471	0
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.96471922430545	2.836296296	2.59399149083963	2.4098166882286	2.02985949845574	0
HALLMARK_IL2_STAT5_SIGNALING	1.84733729757918	2.034814956	2.37535391537059	2.56199486470472	2.92454714020824	0
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.02463310680967	2.573252688	4.16452677916361	2.25230337330327	0	0
HALLMARK_APOPTOSIS	2.2727440140337	2.91208234	2.84195891187824	2.27428942591529	0	0
HALLMARK_APICAL_JUNCTION	2.01201730595376	7.17594532	2.82907196969697	-1.72316805787153	0	0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.89464910543342	3.287888756	1.76195751714884	1.74375390576178	-2.39432603190992	0
HALLMARK_XENOBIOTIC_METABOLISM	0	2.110661204	-2.09318619723244	1.64437962626475	2.22460249572306	0
HALLMARK_ESTROGEN_RESPONSE_EARLY	0	1.734483135	1.58489464982007	-1.28665263876251	1.8080703569581	0
HALLMARK_MYOGENESIS	0	0	1.59645414369165	-1.82499485119967	1.79386728208232	-2.8690006574622
HALLMARK_MYC_TARGETS_V1	-1.48111118953778	0	-1.58817177506437	0	-1.6654072006161	1.41193739730744
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-2.53581999734547	-4.060223447	-2.11534664587858	-1.30862857263678	-1.56160313179515	0
